,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,h0,h1,h2,h3,wind_mag,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
62,45.32,-43.72,2011-08-15 12:00:00,2011,8,15,0.15,5,1.5071305099394988e-06,g m-2,576953333512667135,581439340953993215,585941291313922047,590444822221815807,0.7492197155952454,1.5071305099394988e-06,3.014261019878998e-07,gm-3
63,44.8,-41.58,2011-08-16 12:00:00,2011,8,16,0.15,5,3.6185819070904654e-05,g m-2,576953333512667135,581439340953993215,585941291313922047,590444478624432127,0.564123272895813,3.6185819070904654e-05,7.237163814180931e-06,gm-3
64,44.47,-40.65,2011-08-16 12:00:00,2011,8,16,0.15,5,8.004446914952754e-07,g m-2,576953333512667135,581439340953993215,585941841069735935,590445234538676223,0.959722638130188,8.004446914952754e-07,1.6008893829905508e-07,gm-3
65,44.23,-13.52,2011-09-05 12:00:00,2011,9,5,0.15,5,3.0408615774469443e-07,g m-2,576918149140578303,581404156581904383,585903907918577663,590407095229087743,2.9476308822631836,3.044701865749781e-07,6.089403731499562e-08,gm-3
66,43.57,-37.65,2011-08-17 12:00:00,2011,8,17,0.15,5,0.00013351278858128156,g m-2,576953333512667135,581430544860971007,585931945465085951,590435201495072767,2.880573034286499,0.00013361214936067974,2.6722429872135947e-05,gm-3
67,41.57,-14.73,2011-04-08 12:00:00,2011,4,8,0.15,5,1.2904342807675652e-05,g m-2,577410730349821951,581404156581904383,586407484244099071,590408744496529407,2.293158769607544,1.2904345968745223e-05,2.5808691937490445e-06,gm-3
68,41.24,-17.14,2011-04-07 12:00:00,2011,4,7,0.15,5,0.0,g m-2,577410730349821951,581905533884170239,586408583755726847,590408881935482879,0.5272087454795837,0.0,0.0,gm-3
69,41.01,-21.81,2011-04-06 12:00:00,2011,4,6,0.15,5,0.00011749719879695709,g m-2,577410730349821951,581901135837659135,586401436930146303,590904830399086591,3.2653253078460693,0.00011852302133334651,2.3704604266669724e-05,gm-3
70,40.07,-26.25,2011-04-05 12:00:00,2011,4,5,0.15,5,0.0,g m-2,577410730349821951,581901135837659135,586402536441774079,590905655032807423,3.6814491748809814,0.0,0.0,gm-3
71,39.77,-25.37,2011-09-02 12:00:00,2011,9,2,0.15,5,1.373074046372475e-05,g m-2,577410730349821951,581901135837659135,586402536441774079,590905998630191103,5.485154628753662,2.4645172570671635e-05,4.951580897536113e-06,gm-3
