,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,l_min,l_max,h0,h1,h2,h3,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
503,31.0667,-148.8,2009-07-26,2009,7,26,0,Eriksen2014,9.23e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586420128627818495,590923247218851839,9.23e-06,1.846e-06,n m-3
504,32.5667,-147.4167,2009-07-27,2009,7,27,0,Eriksen2014,4.51e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586418479360376831,590921804109840383,4.51e-06,9.02e-07,n m-3
505,34.4333,-145.8167,2009-07-28,2009,7,28,0,Eriksen2014,5.31e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586421228139446271,590924484169433087,5.31e-06,1.062e-06,n m-3
506,36.5,-144.9,2009-07-29,2009,7,29,0,Eriksen2014,9.210000000000002e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586441569104560127,590944825134546943,9.210000000000002e-06,1.8420000000000003e-06,n m-3
507,37.9667,-143.4833,2009-07-30,2009,7,30,0,Eriksen2014,8.32e-06,n m-2,0.2,inf,577445914721910783,581940718256259071,586441569104560127,590944962573500415,8.32e-06,1.664e-06,n m-3
508,27.5667,-157.3833,2009-07-30,2009,7,30,0,Eriksen2014,1.2e-06,n m-2,0.2,inf,577445914721910783,581927524116725759,586428374965026815,590931493556060159,1.2e-06,2.4e-07,n m-3
509,30.95,-157.35,2009-07-21,2009,7,21,0,Eriksen2014,1.57e-06,n m-2,0.2,inf,577445914721910783,581927524116725759,586430573988282367,590933692579315711,1.57e-06,3.14e-07,n m-3
510,33.4,-156.9333,2009-07-22,2009,7,22,0,Eriksen2014,5.75e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590949635497918463,5.75e-06,1.15e-06,n m-3
511,34.5,-153.25,2009-07-23,2009,7,23,0,Eriksen2014,5.41e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586445417395257343,590948535986290687,5.41e-06,1.082e-06,n m-3
512,35.4167,-149.8833,2009-07-24,2009,7,24,0,Eriksen2014,5.47e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586421777895260159,590924896486293503,5.47e-06,1.094e-06,n m-3
513,36.0,-146.3333,2009-07-25,2009,7,25,0,Eriksen2014,5.17e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586420678383632383,590923865694142463,5.17e-06,1.034e-06,n m-3
514,36.5,-142.0833,2009-07-26,2009,7,26,0,Eriksen2014,8.36e-06,n m-2,0.2,inf,577445914721910783,581940718256259071,586442118860374015,590945649768267775,8.36e-06,1.6719999999999998e-06,n m-3
515,37.1667,-138.9167,2009-07-27,2009,7,27,0,Eriksen2014,7.3e-07,n m-2,0.2,inf,577445914721910783,581940718256259071,586441019348746239,590944550256639999,7.3e-07,1.46e-07,n m-3
516,37.15,-138.9,2009-07-28,2009,7,28,0,Eriksen2014,4.9e-07,n m-2,0.2,inf,577445914721910783,581940718256259071,586441019348746239,590944550256639999,4.9e-07,9.799999999999999e-08,n m-3
517,36.27,-148.5395,2009-09-08,2009,9,8,0,Eriksen2014,9.892000000000001e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586420678383632383,590923934413619199,9.892000000000001e-05,1.9784000000000002e-05,n m-3
518,35.6247,-139.8972,2009-12-08,2009,12,8,0,Eriksen2014,6.92e-06,n m-2,0.2,inf,577445914721910783,581940718256259071,586442118860374015,590945306170884095,6.92e-06,1.384e-06,n m-3
519,35.401,-136.7717,2009-08-13,2009,8,13,0,Eriksen2014,1.53e-06,n m-2,0.2,inf,577445914721910783,581694427651637247,586441019348746239,590944206659256319,1.53e-06,3.06e-07,n m-3
520,22.4217,-159.5167,2009-08-19,2009,8,19,0,Eriksen2014,4.4e-07,n m-2,0.2,inf,577727389698621439,582204601046925311,586704902139412479,591208433047306239,4.4e-07,8.800000000000001e-08,n m-3
522,27.4852,-158.3032,2009-08-21,2009,8,21,0,Eriksen2014,4.1100000000000005e-06,n m-2,0.2,inf,577727389698621439,581927524116725759,586428374965026815,590931630995013631,4.1100000000000005e-06,8.220000000000001e-07,n m-3
523,32.346,-157.5991,2009-08-23,2009,8,23,0,Eriksen2014,9.24e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590949772936871935,9.24e-06,1.848e-06,n m-3
524,33.9533,-155.8267,2009-08-24,2009,8,24,0,Eriksen2014,2.071e-05,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590949979095302143,2.071e-05,4.142e-06,n m-3
525,35.8667,-152.5333,2009-08-25,2009,8,25,0,Eriksen2014,1.258e-05,n m-2,0.2,inf,577445914721910783,581945116302770175,586447616418512895,590950941167976447,1.258e-05,2.516e-06,n m-3
526,37.0717,-148.6533,2009-08-27,2009,8,27,0,Eriksen2014,1.3009999999999999e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586420678383632383,590924209291526143,1.3009999999999999e-05,2.602e-06,n m-3
527,36.1333,-142.15,2009-08-28,2009,8,28,0,Eriksen2014,0.0005873300000000001,n m-2,0.2,inf,577445914721910783,581940718256259071,586442118860374015,590945649768267775,0.0005873300000000001,0.00011746600000000002,n m-3
528,35.5483,-139.4417,2009-08-29,2009,8,29,0,Eriksen2014,8.220000000000001e-06,n m-2,0.2,inf,577445914721910783,581940718256259071,586442118860374015,590945306170884095,8.220000000000001e-06,1.6440000000000003e-06,n m-3
529,34.8083,-136.82,2009-08-30,2009,8,30,0,Eriksen2014,2.75e-06,n m-2,0.2,inf,577445914721910783,581694427651637247,586196927767379967,590700115077890047,2.75e-06,5.5e-07,n m-3
530,34.5883,-133.7417,2009-08-31,2009,8,31,0,Eriksen2014,8.900000000000001e-07,n m-2,0.2,inf,577199624117288959,581694427651637247,586196927767379967,590697641176727551,8.900000000000001e-07,1.78e-07,n m-3
531,34.7433,-131.535,2009-01-09,2009,1,9,0,Eriksen2014,5e-07,n m-2,0.2,inf,577199624117288959,581694427651637247,586194178988310527,590697709896204287,5e-07,1e-07,n m-3
532,34.6683,-129.1617,2009-02-09,2009,2,9,0,Eriksen2014,5.2e-07,n m-2,0.2,inf,577199624117288959,581694427651637247,586197477523193855,590700733553180671,5.2e-07,1.04e-07,n m-3
534,33.1199,-158.1481,2010-03-08,2010,3,8,0,Eriksen2014,1.37e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590949772936871935,1.37e-06,2.74e-07,n m-3
535,33.6833,-158.05,2010-03-08,2010,3,8,0,Eriksen2014,6.969999999999999e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590950047814778879,6.969999999999999e-06,1.394e-06,n m-3
536,34.05,-157.9833,2010-03-08,2010,3,8,0,Eriksen2014,1.26e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590950047814778879,1.26e-06,2.52e-07,n m-3
537,35.5667,-157.5833,2010-04-08,2010,4,8,0,Eriksen2014,8.23e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586444867639443455,590948123669430271,8.23e-06,1.6460000000000002e-06,n m-3
538,35.4167,-157.4,2010-01-08,2010,1,8,0,Eriksen2014,4.769999999999999e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586444867639443455,590948123669430271,4.769999999999999e-06,9.539999999999999e-07,n m-3
539,34.4279,-155.8867,2010-05-08,2010,5,8,0,Eriksen2014,3.13e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586446516906885119,590949979095302143,3.13e-06,6.26e-07,n m-3
541,33.2667,-154.5,2010-06-08,2010,6,8,0,Eriksen2014,1.1720000000000001e-05,n m-2,0.2,inf,577445914721910783,581945116302770175,586429474476654591,590932867945594879,1.1720000000000001e-05,2.3440000000000003e-06,n m-3
542,33.3667,-154.25,2010-06-08,2010,6,8,0,Eriksen2014,3.246e-05,n m-2,0.2,inf,577445914721910783,581945116302770175,586445417395257343,590932867945594879,3.246e-05,6.492e-06,n m-3
543,32.3608,-152.7967,2010-07-08,2010,7,8,0,Eriksen2014,1.5570000000000002e-05,n m-2,0.2,inf,577445914721910783,581927524116725759,586429474476654591,590932936665071615,1.5570000000000002e-05,3.114e-06,n m-3
544,32.3193,-151.3663,2010-08-08,2010,8,8,0,Eriksen2014,1e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586419578872004607,590922834901991423,1e-06,2e-07,n m-3
545,33.8843,-148.678,2010-09-08,2010,9,8,0,Eriksen2014,2.1899999999999998e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586418479360376831,590922010268270591,2.1899999999999998e-06,4.38e-07,n m-3
547,35.7317,-146.0215,2010-11-08,2010,11,8,0,Eriksen2014,6.02e-06,n m-2,0.2,inf,577445914721910783,581918728023703551,586420678383632383,590923865694142463,6.02e-06,1.204e-06,n m-3
549,35.1167,-153.1667,2010-01-08,2010,1,8,0,Eriksen2014,6.96e-06,n m-2,0.2,inf,577445914721910783,581945116302770175,586445417395257343,590948879583674367,6.96e-06,1.392e-06,n m-3
550,37.2667,-151.9,2010-04-08,2010,4,8,0,Eriksen2014,1.093e-05,n m-2,0.2,inf,577445914721910783,581945116302770175,586447616418512895,590950803729022975,1.093e-05,2.186e-06,n m-3
551,36.9833,-150.8167,2010-05-08,2010,5,8,0,Eriksen2014,1.3019999999999999e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586421777895260159,590925171364200447,1.3019999999999999e-05,2.604e-06,n m-3
552,36.9,-149.3,2010-06-08,2010,6,8,0,Eriksen2014,3.346e-05,n m-2,0.2,inf,577445914721910783,581918728023703551,586437720813862911,590941045563326463,3.346e-05,6.6920000000000005e-06,n m-3
